genre,title,thumbnail,year,synopsis,duration,uuid
Action|Adventure|Fantasy|Sci-Fi,avatar,https://i.imgur.com/NQTuLtb.mp4,2015,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",133,ddfcb959-558a-4e66-bee7-37dba4f32e5e
Action|Adventure|Fantasy,pirates of the caribbean: at world's end,https://i.imgur.com/7ax74eb.mp4,2015,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,137,8b592a82-8470-4e01-a147-c05c45e8ca34
Action|Adventure|Thriller,spectre,https://i.imgur.com/AylKL2G.mp4,2014,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,121,e0bcdb90-195a-4029-bc65-508f0511d374
Action|Thriller,the dark knight rises,https://i.imgur.com/hwUzoyu.mp4,2016,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,123,5c77ce93-dc12-4957-bd17-2139590b30be
Documentary,star wars: episode vii - the force awakensÂ            ,https://i.imgur.com/BR9EUGh.mp4,2007,"In the distant future, mankind has used up all of its fossil fuels, forcing them to turn to Solar Power as an alternate energy source. As a result, this causes a rift to form between richer and poorer nations, eventually leading to war. In the midst of this conflict, a mysterious military group known as Celestial Being aims to use force to bring peace to the world, by using special humanoid weapons known as Gundams.",100,713a00a4-fca9-4cde-bec8-6db4ba7393d5
Action|Adventure|Sci-Fi,john carter,https://i.imgur.com/6u0PCQK.mp4,2015,"Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger.",100,f9dd49d9-4b10-4e15-a14f-1e0db6b745f4
Action|Adventure|Romance,spider-man 3,https://i.imgur.com/LItJ5qS.mp4,2013,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",100,76e7b22c-7ea5-4b86-abb7-94cfe39061b0
Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,tangled,https://i.imgur.com/W3fTtFS.mp4,2004,"High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows"".",100,50dbaaaa-eaaa-4bdf-b80f-63c14dbfe35d
Action|Adventure|Sci-Fi,avengers: age of ultron,https://i.imgur.com/V6WMXYx.mp4,1994,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",142,1a5377bc-adf7-446c-9d69-a82cd21aa874
Adventure|Family|Fantasy|Mystery,harry potter and the half-blood prince,https://i.imgur.com/QzJe4nJ.mp4,1999,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",136,f71aae4b-c975-4eff-9bf1-3b92ca18af45
Action|Adventure|Sci-Fi,batman v superman: dawn of justice,https://i.imgur.com/8xf630M.mp4,1994,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154,8a2e9ea8-78b9-410d-9c0a-ec3f4430feda
Action|Adventure|Sci-Fi,superman returns,https://i.imgur.com/mRz7x3g.mp4,2015,"Margherita, a director in the middle of an existential crisis, has to deal with the inevitable and still unacceptable loss of her mother.",106,496524c8-128d-4195-a03a-a722ab2453a4
Action|Adventure,quantum of solace,https://i.imgur.com/HtjzC5p.mp4,2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",100,1d8fd69b-d580-4e79-9086-eab308876bed
Action|Adventure|Fantasy,pirates of the caribbean: dead man's chest,https://i.imgur.com/TYDj9ud.mp4,2013,Princess Froglegs goes undercover to compete in her father's Froglympics in order to avoid being married off to a male suitor.,86,773a29c5-a666-43bc-9202-d95ae6b54430
Action|Adventure|Western,the lone ranger,https://i.imgur.com/KNgrqaP.mp4,2016,"The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang.",116,bfbab3ee-5c6c-4f98-8fa1-5b151153f2e9
Action|Adventure|Fantasy|Sci-Fi,man of steel,https://i.imgur.com/eThziEz.mp4,2004,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",115,7c0f0d90-eb34-49d4-811e-3eb1f7d0380d
Action|Adventure|Family|Fantasy,the chronicles of narnia: prince caspian,https://i.imgur.com/8kisA8v.mp4,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,81,255dff4a-dab0-4ad6-a12a-2433d45ef3e3
Action|Adventure|Sci-Fi,the avengers,https://i.imgur.com/O6XpreV.mp4,2016,"Forty-something and single again, Bridget decides to focus on her job and surround herself with friends. In a twist, she finds herself pregnant, but with one hitch - she can only be fifty percent sure of the identity of her baby's father.",123,360cbca7-9c74-4071-8adb-a77c6d42ffdc
Action|Adventure|Fantasy,pirates of the caribbean: on stranger tides,https://i.imgur.com/u24oIR1.mp4,2016,A stuffy businessman finds himself trapped inside the body of his family's cat.,87,8ae691ac-9a83-45ed-8397-1d820a3290d2
Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,men in black 3,https://i.imgur.com/4nlbiGT.mp4,2016,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",98,b2e23be6-3710-4bfd-90e6-4bd8e549aa1e
Adventure|Fantasy,the hobbit: the battle of the five armies,https://i.imgur.com/Coz5yzb.mp4,2011,"A documentary that follows six young dancers from around the world as they prepare for the Youth America Grand Prix, one of the most prestigious ballet competitions in the world.",95,ba1cbae1-dc25-4444-880a-fe7f62aed4a0
Action|Adventure|Fantasy,the amazing spider-man,https://i.imgur.com/xZid5oj.mp4,1957,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",88,b0790115-9f54-43d5-a919-3fdec4d0c1f0
Action|Adventure|Drama|History,robin hood,https://i.imgur.com/yinQyyT.mp4,2016,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,112,ef57a0bc-e0e1-46d5-8749-584d41f7f694
Adventure|Fantasy,the hobbit: the desolation of smaug,https://i.imgur.com/AARIL26.mp4,2016,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",115,c6c542ea-d0c9-4ba0-b1d1-17afebb1f76d
Adventure|Family|Fantasy,the golden compass,https://i.imgur.com/NhenJym.mp4,2016,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,132,3448f6fc-2b66-4c4a-beea-a5a4ec39f1ef
Action|Adventure|Drama|Romance,king kong,https://i.imgur.com/LcqMMwG.mp4,2016,Thomas unexpectedly inherits a property with a mysterious curse.,89,b5a83670-cf67-4901-a1c2-ae65ce693e6b
Drama|Romance,titanic,https://i.imgur.com/YdhTLqF.mp4,2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,178,ca1ba83f-405c-4208-bea7-f914aa52427f
Action|Adventure|Sci-Fi,captain america: civil war,https://i.imgur.com/62tJ58E.mp4,1999,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",124,c28d5b00-8dae-48ae-beec-0b0cf5a4ad83
Action|Adventure|Sci-Fi|Thriller,battleship,https://i.imgur.com/fan0H9k.mp4,2001,"AmÃ©lie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",122,7ccd5e75-0787-4cb6-8812-a4bf250e75db
Action|Adventure|Sci-Fi|Thriller,jurassic world,https://i.imgur.com/l6krM70.mp4,2015,A young woman recovers from a demonic possession.,89,6cb52c19-2057-45fe-af6e-cdee8caac8e6
Action|Adventure|Thriller,skyfall,https://i.imgur.com/C2XcrZJ.mp4,2016,The residents of a small town discover that something more sinister than killer wolves is lurking in the backwoods: first the wolves start turning up dead...then people.,88,29ebee99-3234-48d1-b3b8-1aedb982eb40
Action|Adventure|Fantasy|Romance,spider-man 2,https://i.imgur.com/Fx5iKwZ.mp4,2015,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",118,807c2eb8-7bc7-4821-8edd-f13908e36e13
Action|Adventure|Sci-Fi,iron man 3,https://i.imgur.com/j3qBgq8.mp4,2016,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,134,db64ab60-328d-4e96-bd22-2b6278ed2224
Adventure|Family|Fantasy,alice in wonderland,https://i.imgur.com/K7ERYIB.mp4,2019,A woman walks into a bar and is sold the life of her dreams,12,7fba37b8-f11c-4e46-b3ed-b23a303fad45
Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: the last stand,https://i.imgur.com/ZFFosSD.mp4,2015,"A seemingly perfect family looks to fix their problems with the help of Miss Clara, an older, wiser woman.",120,cba589a1-cab8-4e55-bf23-5c95db12dbfc
Adventure|Animation|Comedy|Family|Fantasy,monsters university,https://i.imgur.com/SQyPd7N.mp4,2004,"A seemingly perfect family looks to fix their problems with the help of Miss Clara, an older, wiser woman.",114,626a7284-7cae-4e4a-93ef-cde346e303a1
Action|Adventure|Sci-Fi,transformers: revenge of the fallen,https://i.imgur.com/ZTOIYrc.mp4,2014,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,106,2a9e1e18-5731-48c9-9142-a6fc9521a5ad
Action|Adventure|Sci-Fi,transformers: age of extinction,https://i.imgur.com/tZtTkBf.mp4,2014,"In the 60s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 80s, he is a broken, confused man under the 24-hour watch of shady therapist Dr. Eugene Landy.",121,9dea3450-bf72-4869-baad-0dea3738f58c
Adventure|Family|Fantasy,oz the great and powerful,https://i.imgur.com/XqSrnvi.mp4,2016,"A playboy named Charlie, convinced that all his relationships are dead, meets the beautiful and mysterious Eva. Agreeing to a casual affair, Charlie then wants a bit more from their relationship.",96,7fb7a6aa-fe68-4d4f-a1fb-e6d37cb5a384
Action|Adventure|Fantasy|Sci-Fi,the amazing spider-man 2,https://i.imgur.com/0RworbR.mp4,1991,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.",137,11aec4cb-e9a3-4f8d-8181-e04c49713717
