actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,movie_imdb_link,movie_video,comb
CCH Pounder,Joel David Moore,Wes Studi,James Cameron,Action|Adventure|Fantasy|Sci-Fi,avatar,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,https://i.imgur.com/NQTuLtb.mp4,CCH Pounder Joel David Moore Wes Studi James Cameron Action|Adventure|Fantasy|Sci-Fi http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1 https://i.imgur.com/NQTuLtb.mp4
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,pirates of the caribbean: at world's end,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,https://i.imgur.com/7ax74eb.mp4,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action|Adventure|Fantasy http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1 https://i.imgur.com/7ax74eb.mp4
Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,Action|Adventure|Thriller,spectre,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,https://i.imgur.com/AylKL2G.mp4,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action|Adventure|Thriller http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1 https://i.imgur.com/AylKL2G.mp4
Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,Action|Thriller,the dark knight rises,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,https://i.imgur.com/hwUzoyu.mp4,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action|Thriller http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1 https://i.imgur.com/hwUzoyu.mp4
Doug Walker,Rob Walker,unknown,Doug Walker,Documentary,star wars: episode vii - the force awakens            ,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,https://i.imgur.com/BR9EUGh.mp4,Doug Walker Rob Walker unknown Doug Walker Documentary http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1 https://i.imgur.com/BR9EUGh.mp4
Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,Action|Adventure|Sci-Fi,john carter,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,https://i.imgur.com/6u0PCQK.mp4,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action|Adventure|Sci-Fi http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1 https://i.imgur.com/6u0PCQK.mp4
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Romance,spider-man 3,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,https://i.imgur.com/LItJ5qS.mp4,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action|Adventure|Romance http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1 https://i.imgur.com/LItJ5qS.mp4
Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,tangled,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,https://i.imgur.com/W3fTtFS.mp4,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1 https://i.imgur.com/W3fTtFS.mp4
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,avengers: age of ultron,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,https://i.imgur.com/V6WMXYx.mp4,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action|Adventure|Sci-Fi http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1 https://i.imgur.com/V6WMXYx.mp4
Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,Adventure|Family|Fantasy|Mystery,harry potter and the half-blood prince,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,https://i.imgur.com/QzJe4nJ.mp4,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure|Family|Fantasy|Mystery http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1 https://i.imgur.com/QzJe4nJ.mp4
Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,Action|Adventure|Sci-Fi,batman v superman: dawn of justice,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,https://i.imgur.com/8xf630M.mp4,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action|Adventure|Sci-Fi http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1 https://i.imgur.com/8xf630M.mp4
